,ax,ay,az
501,-14.514862,-51.37809,-7.2580295
502,-12.550355,-29.466413,4.86072
503,-3.1576285,-13.670495,0.41964126
504,-3.1576285,-13.670495,0.41964126
505,-3.1576285,-13.670495,0.41964126
506,3.4417763,-12.345768,9.155837
507,3.4417763,-12.345768,9.155837
508,10.051051,-14.537594,4.453641
509,10.051051,-14.537594,4.453641
510,10.051051,-14.537594,4.453641
511,12.417852,-14.693426,1.0710872
512,-0.012562319,-7.0803623,-1.7700906
513,-0.012562319,-7.0803623,-1.7700906
514,-0.012562319,-7.0803623,-1.7700906
515,-0.012562319,-7.0803623,-1.7700906
516,-5.452645,1.4380864,-8.285747
517,-5.452645,1.4380864,-8.285747
518,-9.326026,10.885847,-9.097811
519,-9.326026,10.885847,-9.097811
520,-6.9281187,12.943675,-13.946268
521,-6.9281187,12.943675,-13.946268
522,2.629712,4.3558345,-4.002594
523,2.629712,4.3558345,-4.002594
524,2.629712,4.3558345,-4.002594
525,2.629712,4.3558345,-4.002594
526,-0.6376872,-6.3065834,15.429818
527,-0.6376872,-6.3065834,15.429818
528,3.353242,-13.090834,50.04469
529,3.353242,-13.090834,50.04469
530,-3.2392836,-26.924639,-35.601612
531,-3.2392836,-26.924639,-35.601612
532,-8.667402,-16.293327,-17.937197
533,-8.667402,-16.293327,-17.937197
534,-12.287145,-14.118252,-3.3149567
535,-12.287145,-14.118252,-3.3149567
536,0.60807604,-6.4384875,-13.016955
537,0.60807604,-6.4384875,-13.016955
538,-1.5646069,-10.158729,-9.732507
539,-1.5646069,-10.158729,-9.732507
540,-4.4225345,-14.470595,-3.5856447
541,-4.4225345,-14.470595,-3.5856447
542,-3.9625144,-25.719852,14.521742
543,3.391527,-32.079678,3.6583266
544,9.861719,-32.736206,-8.079665
545,9.861719,-32.736206,-8.079665
546,7.8233337,-23.994926,8.866006
547,7.8233337,-23.994926,8.866006
548,-8.293822,-16.724634,16.031013
549,-8.293822,-16.724634,16.031013
550,-8.293822,-16.724634,16.031013
551,-17.250456,-11.732308,12.013764
552,-12.653545,-8.5681,10.492527
553,4.2394834,-2.536093,3.0472596
554,4.2394834,-2.536093,3.0472596
555,4.2394834,-2.536093,3.0472596
556,13.8550415,2.6069803,5.756832
557,13.8550415,2.6069803,5.756832
558,9.761221,0.92303133,4.6091747
559,9.761221,0.92303133,4.6091747
560,9.761221,0.92303133,4.6091747
561,9.761221,0.92303133,4.6091747
562,0.04995017,-5.1879387,3.828217
563,0.04995017,-5.1879387,3.828217
564,0.04995017,-5.1879387,3.828217
565,0.04995017,-5.1879387,3.828217
566,-3.5147574,-19.1034,-3.772584
567,-3.5147574,-19.1034,-3.772584
568,-3.5147574,-19.1034,-3.772584
569,-3.5147574,-19.1034,-3.772584
570,-3.9744785,-22.98396,-2.6252255
571,-9.453145,-31.318161,-4.412066
572,-12.440285,-30.920353,-2.524428
573,-12.440285,-30.920353,-2.524428
574,-9.49143,-22.52663,1.6722839
575,-9.49143,-22.52663,1.6722839
576,-9.49143,-22.52663,1.6722839
577,-8.346464,-21.170797,2.6425736
578,-4.343571,-19.843678,3.7157545
579,-4.343571,-19.843678,3.7157545
580,7.265208,-17.886349,5.421239
581,7.265208,-17.886349,5.421239
582,7.1213393,-11.399407,-2.5845475
583,7.1213393,-11.399407,-2.5845475
584,7.1213393,-11.399407,-2.5845475
585,7.1213393,-11.399407,-2.5845475
586,7.1213393,-11.399407,-2.5845475
587,-2.5492535,2.5591238,-6.460322
588,-2.5492535,2.5591238,-6.460322
589,-2.5492535,2.5591238,-6.460322
590,-2.5492535,2.5591238,-6.460322
591,-6.4923263,9.922736,-5.9093747
592,-4.4057846,10.924132,-17.690437
593,-4.4057846,10.924132,-17.690437
594,0.29162526,9.014959,-7.830512
595,0.29162526,9.014959,-7.830512
596,-0.21834506,-6.538986,15.9999075
597,-0.21834506,-6.538986,15.9999075
598,-0.21834506,-6.538986,15.9999075
599,-0.21834506,-6.538986,15.9999075
600,-4.721936,-17.38595,-16.773088
601,-4.721936,-17.38595,-16.773088
602,-4.721936,-17.38595,-16.773088
603,-4.721936,-17.38595,-16.773088
604,-14.871692,-21.38645,26.106592
605,-14.871692,-21.38645,26.106592
606,1.9160527,-9.849456,-17.827127
607,1.9160527,-9.849456,-17.827127
608,1.9160527,-9.849456,-17.827127
609,2.1505494,-8.9057865,-14.624333
610,1.7578273,-10.177871,-10.479965
611,1.7578273,-10.177871,-10.479965
612,-3.2153554,-17.201405,-2.225026
613,-3.2153554,-17.201405,-2.225026
614,-3.2153554,-17.201405,-2.225026
615,-4.1925244,-26.036005,4.9639106
616,2.644069,-31.337303,-2.0814567
617,2.835794,-30.791142,-3.0729825
618,-0.06281159,-23.247469,5.191229
619,-0.06281159,-23.247469,5.191229
620,-0.3382853,-22.2368,7.9366937
621,-11.6186495,-10.745568,7.7258263
622,-11.6186495,-10.745568,7.7258263
623,-11.6186495,-10.745568,7.7258263
624,-11.6186495,-10.745568,7.7258263
625,-8.859127,-5.7460647,4.788935
626,-8.859127,-5.7460647,4.788935
627,10.120443,2.269293,9.646963
628,10.120443,2.269293,9.646963
629,10.120443,2.269293,9.646963
630,9.459426,-4.1578283,5.7520466
631,9.459426,-4.1578283,5.7520466
632,9.459426,-4.1578283,5.7520466
633,9.459426,-4.1578283,5.7520466
634,3.0059834,0.09900304,-5.4589257
635,2.7711878,0.65712893,-5.456533
636,2.2585254,1.6633109,-3.8180475
637,-0.6903293,1.3444673,8.298309
638,-9.771689,-3.429513,10.042377
639,-9.771689,-3.429513,10.042377
640,-9.771689,-3.429513,10.042377
641,3.144767,-21.942184,-6.309574
642,3.144767,-21.942184,-6.309574
643,3.144767,-21.942184,-6.309574
644,3.144767,-21.942184,-6.309574
645,1.8200407,-39.287754,-1.9471594
646,-8.933304,-29.073393,5.486144
647,-8.933304,-29.073393,5.486144
648,-11.987443,-24.759134,5.313562
649,-11.987443,-24.759134,5.313562
650,-14.12902,-24.689743,2.9682965
651,-3.6320057,-18.688843,1.5526428
652,-3.6320057,-18.688843,1.5526428
653,-3.6320057,-18.688843,1.5526428
654,-3.6320057,-18.688843,1.5526428
655,12.360424,-14.173586,-0.61764735
656,12.360424,-14.173586,-0.61764735
657,12.360424,-14.173586,-0.61764735
658,12.360424,-14.173586,-0.61764735
659,-2.3503501,-0.51445687,-3.758227
660,-2.3503501,-0.51445687,-3.758227
661,-2.3503501,-0.51445687,-3.758227
662,-2.3503501,-0.51445687,-3.758227
663,-5.028517,12.924532,-10.389038
664,-5.028517,12.924532,-10.389038
665,-5.028517,12.924532,-10.389038
666,-5.028517,12.924532,-10.389038
667,2.359024,6.815955,-8.328817
668,2.359024,6.815955,-8.328817
669,2.359024,6.815955,-8.328817
670,2.1577277,3.735196,-5.4182477
671,0.81864446,-1.0917253,1.998306
672,7.804191,-18.456738,31.192238
673,7.804191,-18.456738,31.192238
674,7.804191,-18.456738,31.192238
675,7.804191,-18.456738,31.192238
676,-6.369993,-18.073288,-36.530926
677,-5.7281184,-15.883856,-34.48536
678,-11.079666,-23.269302,-10.173385
679,-11.079666,-23.269302,-10.173385
680,-11.079666,-23.269302,-10.173385
681,-2.3742783,-12.336197,-7.004091
682,-0.97776717,-7.8349986,-15.568004
683,-0.97776717,-7.8349986,-15.568004
684,-0.97776717,-7.8349986,-15.568004
685,-1.6510476,-11.928819,-11.522039
686,-1.8882362,-28.218258,3.0906296
687,-1.8882362,-28.218258,3.0906296
688,2.7879374,-33.99872,-2.5606194
689,2.7879374,-33.99872,-2.5606194
690,2.7879374,-33.99872,-2.5606194
691,2.7879374,-33.99872,-2.5606194
692,-16.162918,-10.096216,10.909476
