,gx,gy,gz
501,-2.5501678,0.07123746,2.098642
502,-2.4606216,0.021704122,2.3789983
503,-2.3791313,-0.2661085,2.3811288
504,-2.0422513,-1.1983206,2.0016394
505,-1.6585013,-1.2649642,1.4499819
506,-1.0647004,-0.50758356,0.8173
507,-0.15758792,-0.14140968,0.08974588
508,0.7527869,-0.5576495,-0.6473954
509,1.5123646,-1.4829376,-1.2507833
510,2.025607,-1.7318692,-1.6212181
511,2.0437162,-1.0272175,-1.7384603
512,1.7436533,0.58507925,-1.8642243
513,1.7937858,1.0754193,-1.9863267
514,2.799499,1.2230872,-1.8098975
515,3.9849036,1.880802,-1.1884006
516,4.396949,2.3407829,-0.55944705
517,4.7716446,2.4143507,0.101463445
518,5.266246,2.055101,0.11264839
519,5.5524607,2.0529704,-0.24340574
520,5.7811527,2.1313314,-0.5088485
521,5.12184,1.1021167,-0.6042534
522,3.9646642,-1.4648286,-0.51417464
523,3.6630034,-4.088231,-0.4118457
524,3.8373022,-5.2342224,-0.40971527
525,3.7242544,-5.1942096,-0.5029897
526,3.3927672,-4.15594,-0.56264275
527,2.8576207,-3.3319159,-0.22476417
528,2.790977,-1.5698206,0.08441972
529,3.074529,0.11551121,-0.24713406
530,3.3389063,1.6249464,-0.78281313
531,3.649688,2.9686713,-1.0045147
532,4.0206556,5.271239,-1.295523
533,3.9763818,5.6528587,-1.5359329
534,3.6341755,5.647,-1.5641615
535,3.4423006,5.764775,-1.4148958
536,3.0606809,5.3938074,-1.1334745
537,2.7046266,4.878368,-1.037537
538,2.0341291,3.8769157,-0.9469256
539,1.3556422,3.0331178,-0.71723473
540,0.8226262,2.3636856,-0.44806364
541,-0.38301784,0.440607,-0.21031694
542,-2.085926,-1.1812768,-0.3228322
543,-4.166792,-2.27607,-0.4762923
544,-5.217844,-3.319133,-0.7257566
545,-5.369773,-4.3041406,-0.9208274
546,-5.065449,-4.7118587,-1.0279498
547,-4.715254,-4.913853,-1.0236889
548,-4.196086,-4.875505,-0.90910983
549,-3.2068174,-4.101613,-0.5732951
550,-0.9186969,-1.61729,-0.09946613
551,2.4749358,0.25672117,0.06311506
552,5.2998004,-1.8491113,-0.13575064
553,3.2088814,-3.0558207,0.340808
554,-0.5546535,-2.3112228,0.64459914
555,-0.43255118,-3.7743204,0.02949364
556,-1.3280127,-2.4913802,0.7218951
557,-0.9426646,-0.8273532,0.8732248
558,-1.390928,0.95604664,0.9169659
559,-1.8945835,0.92515486,0.80824554
560,-2.6066918,-0.39779797,0.6328816
561,-3.83151,-1.2356703,0.7698306
562,-4.9865556,-1.0528497,1.5352671
563,-5.564844,-0.28688058,2.6273308
564,-5.267444,1.2140328,3.0697353
565,-4.222717,3.2389076,2.3992376
566,-3.34117,4.007473,1.5400606
567,-3.9167953,2.1840606,0.9329444
568,-4.9838924,0.35379052,0.57262933
569,-6.088805,-1.5911919,0.033221956
570,-5.241279,-1.1397327,0.040678587
571,-4.0831046,-0.6301519,0.40046105
572,-3.245765,-0.6040537,1.0081099
573,-3.0533574,-0.5544538,1.318825
574,-2.76661,-0.4836158,1.697249
575,-2.5960395,-0.4969312,2.0836623
576,-2.3614883,-0.5907383,2.1903188
577,-1.8988445,-0.8305489,2.0144222
578,-1.3680255,-0.6455978,1.5389954
579,-0.6431344,-0.29706687,0.8678986
580,0.3535908,-0.885475,0.048667833
581,1.2324746,-1.3917935,-0.8973923
582,1.7835995,-1.3145641,-1.5242153
583,1.8955822,-0.24480386,-1.8333327
584,1.6365308,0.8260216,-2.1776693
