,ax,ay,az
501,3.2213376,-2.2510478,-4.788337
502,-1.5311074,4.595416,-3.065804
503,-1.5311074,4.595416,-3.065804
504,-1.5311074,4.595416,-3.065804
505,-1.5311074,4.595416,-3.065804
506,-1.5311074,4.595416,-3.065804
507,-1.7300107,5.503193,-3.1737802
508,-0.40528435,-2.1119652,7.6803627
509,-0.40528435,-2.1119652,7.6803627
510,-0.40528435,-2.1119652,7.6803627
511,-5.272884,-14.628521,21.717857
512,-5.272884,-14.628521,21.717857
513,-10.452148,-23.618954,16.119549
514,-10.452148,-23.618954,16.119549
515,-6.506683,-22.902603,10.86162
516,-6.506683,-22.902603,10.86162
517,-6.643074,-14.242978,21.052053
518,1.5541383,-7.1856465,9.069695
519,0.7085746,11.22832,-22.939093
520,0.7085746,11.22832,-22.939093
521,1.7410775,-28.24458,15.144773
522,1.7410775,-28.24458,15.144773
523,1.7410775,-28.24458,15.144773
524,1.7410775,-28.24458,15.144773
525,0.14566308,-20.018354,-18.564714
526,0.14566308,-20.018354,-18.564714
527,-5.201099,-14.961721,12.071192
528,1.2690933,-7.583453,-11.260922
529,1.2690933,-7.583453,-11.260922
530,1.2690933,-7.583453,-11.260922
531,-0.10348958,-6.0311093,-5.9931235
532,-0.10348958,-6.0311093,-5.9931235
533,-1.11685,-12.386446,-0.04995017
534,-1.11685,-12.386446,-0.04995017
535,-1.11685,-12.386446,-0.04995017
536,-1.11685,-12.386446,-0.04995017
537,-1.11685,-12.386446,-0.04995017
538,-0.06520442,-13.519448,3.0233314
539,-0.06520442,-13.519448,3.0233314
540,2.7209384,-9.046964,-0.9170493
541,2.7209384,-9.046964,-0.9170493
542,2.7209384,-9.046964,-0.9170493
543,2.7209384,-9.046964,-0.9170493
544,1.0725827,-6.1941204,0.46749774
545,1.0725827,-6.1941204,0.46749774
546,0.13609178,-5.144868,1.8975084
547,0.13609178,-5.144868,1.8975084
548,-1.1001002,-5.2022953,-0.75912297
549,-1.1001002,-5.2022953,-0.75912297
550,-4.4871407,-5.834599,0.3909274
551,-4.4871407,-5.834599,0.3909274
552,-6.4444695,-7.502097,2.5468607
553,-6.4444695,-7.502097,2.5468607
554,-8.140383,-13.332509,4.606782
555,-5.732904,-15.378372,8.856435
556,8.755039,-12.087045,-2.6826532
557,8.755039,-12.087045,-2.6826532
558,8.755039,-12.087045,-2.6826532
559,8.755039,-12.087045,-2.6826532
560,5.494818,-12.055938,1.5598212
561,-0.4746762,-15.586846,-1.9854445
562,-0.4746762,-15.586846,-1.9854445
563,-0.4746762,-15.586846,-1.9854445
564,-0.4746762,-15.586846,-1.9854445
565,1.8918254,-16.92593,5.232206
566,1.8918254,-16.92593,5.232206
567,1.8918254,-16.92593,5.232206
568,0.035593238,-16.173687,4.7626143
569,0.035593238,-16.173687,4.7626143
570,3.7965121,-16.283756,2.4197419
571,1.5469599,-12.961322,-1.7964116
572,1.5469599,-12.961322,-1.7964116
573,1.5469599,-12.961322,-1.7964116
574,1.5469599,-12.961322,-1.7964116
575,-5.4670014,-16.784454,-3.894917
576,-5.4670014,-16.784454,-3.894917
577,-5.4670014,-16.784454,-3.894917
578,-10.315458,-21.443878,1.902294
579,-10.315458,-21.443878,1.902294
580,-10.315458,-21.443878,1.902294
581,-10.315458,-21.443878,1.902294
582,-10.315458,-21.443878,1.902294
583,-4.6094737,-8.761918,-3.295814
584,-4.6094737,-8.761918,-3.295814
585,-4.6094737,-8.761918,-3.295814
586,-4.6094737,-8.761918,-3.295814
587,-2.7290142,-6.0550375,-1.0393823
588,-2.7290142,-6.0550375,-1.0393823
589,-2.7290142,-6.0550375,-1.0393823
590,1.7123637,-5.662316,-2.673082
591,1.7123637,-5.662316,-2.673082
592,1.7554345,-2.5265217,-4.4745784
593,1.7554345,-2.5265217,-4.4745784
594,1.7554345,-2.5265217,-4.4745784
595,1.7554345,-2.5265217,-4.4745784
596,1.6669,-2.1095722,-4.5726843
597,-2.800799,3.114857,-3.964309
598,-2.800799,3.114857,-3.964309
599,-2.800799,3.114857,-3.964309
600,0.8138588,2.7388847,0.23748764
601,0.8138588,2.7388847,0.23748764
602,0.8138588,2.7388847,0.23748764
603,0.8138588,2.7388847,0.23748764
604,-4.3579283,-13.327723,19.837397
605,-4.3579283,-13.327723,19.837397
606,-4.3579283,-13.327723,19.837397
607,-4.3579283,-13.327723,19.837397
608,-6.365207,-17.318651,16.007086
609,-6.365207,-17.318651,16.007086
610,-6.365207,-17.318651,16.007086
611,-6.365207,-17.318651,16.007086
612,-6.5258255,-11.811571,24.511177
613,-0.58983076,-7.952247,-1.6477575
614,-13.079767,4.523332,-13.31875
615,-13.079767,4.523332,-13.31875
616,5.79422,-14.161622,-17.743078
617,5.79422,-14.161622,-17.743078
618,5.79422,-14.161622,-17.743078
619,5.79422,-14.161622,-17.743078
620,5.79422,-14.161622,-17.743078
621,-7.893623,-12.268899,-6.843772
622,-7.893623,-12.268899,-6.843772
623,-7.893623,-12.268899,-6.843772
624,-7.893623,-12.268899,-6.843772
625,0.40677986,-11.493027,-3.621537
626,0.40677986,-11.493027,-3.621537
627,0.26291138,-12.498909,-2.8094728
628,2.0404794,-13.943576,-0.11216356
629,2.140978,-14.226228,2.664109
630,0.9529416,-12.043974,1.2747762
631,0.9529416,-12.043974,1.2747762
632,0.9529416,-12.043974,1.2747762
633,0.9529416,-12.043974,1.2747762
634,0.06669993,-6.335297,-1.5687944
635,0.06669993,-6.335297,-1.5687944
636,0.06669993,-6.335297,-1.5687944
637,0.06669993,-6.335297,-1.5687944
638,-1.1431711,-5.061119,-0.03798606
639,-1.8113668,-4.9842496,0.8003992
640,-1.8113668,-4.9842496,0.8003992
641,-2.02702,-5.171189,0.7429714
642,-1.1120644,-6.0550375,-0.29910284
643,-5.6300125,-9.878469,-0.8356933
644,-5.6300125,-9.878469,-0.8356933
645,-5.6300125,-9.878469,-0.8356933
646,-5.6300125,-9.878469,-0.8356933
647,-8.2145605,-12.992429,11.965908
648,-8.2145605,-12.992429,11.965908
649,-1.2460624,-12.489338,4.599603
650,-1.2460624,-12.489338,4.599603
651,1.87029,-12.774383,1.2221341
652,5.877969,-14.475381,-1.5711871
653,5.2025948,-14.245371,7.318448
654,5.2025948,-14.245371,7.318448
655,3.7459638,-12.75524,6.4106708
656,2.6009982,-12.314662,1.4976078
657,2.3231318,-12.441482,-0.74476606
658,2.1337996,-13.282259,-1.7147565
659,2.0572293,-15.246767,1.6818552
660,-1.6582261,-15.258731,6.2380886
661,-1.6582261,-15.258731,6.2380886
662,-1.198206,-16.590635,1.3537394
663,1.9974087,-16.506588,1.6698911
664,3.255136,-15.18904,2.7622147
665,3.2165518,-14.290834,3.871587
666,-1.864308,-14.367405,-5.1092744
667,-1.864308,-14.367405,-5.1092744
668,-1.864308,-14.367405,-5.1092744
669,-1.864308,-14.367405,-5.1092744
670,-6.6912293,-18.082859,-2.2178476
671,-12.914662,-22.128824,-1.5376877
672,-12.914662,-22.128824,-1.5376877
673,-12.914662,-22.128824,-1.5376877
674,-9.836296,-19.910677,1.1620145
675,-6.5521464,-16.902002,0.39571303
676,-5.905486,-14.817853,-0.26799613
677,-5.905486,-14.817853,-0.26799613
678,-3.6056845,-9.092726,-1.9136599
679,-3.6056845,-9.092726,-1.9136599
680,-3.6056845,-9.092726,-1.9136599
681,-1.91695,-7.813463,-0.8452646
682,2.754438,-6.0837517,-1.6190436
683,2.754438,-6.0837517,-1.6190436
684,2.754438,-6.0837517,-1.6190436
685,5.0132627,-5.7317076,-2.754438
686,2.2824538,-2.1936202,-4.2254257
687,2.2824538,-2.1936202,-4.2254257
688,2.2824538,-2.1936202,-4.2254257
689,2.2824538,-2.1936202,-4.2254257
690,2.00698,-1.6689938,-4.2038903
691,-1.9935204,2.5615165,-3.952345
692,-1.9935204,2.5615165,-3.952345
693,-1.9935204,2.5615165,-3.952345
694,-1.0016954,2.597409,-1.151845
695,-1.0016954,2.597409,-1.151845
696,-1.0016954,2.597409,-1.151845
697,-1.0016954,2.597409,-1.151845
698,-1.0016954,2.597409,-1.151845
699,-10.797014,-18.708284,18.702003
700,-10.797014,-18.708284,18.702003
701,-10.797014,-18.708284,18.702003
702,-10.797014,-18.708284,18.702003
703,-10.797014,-18.708284,18.702003
704,2.1218355,-8.757133,10.133305
705,2.1218355,-8.757133,10.133305
706,2.1218355,-8.757133,10.133305
707,2.1218355,-8.757133,10.133305
708,2.9673991,-5.259723,-12.27189
709,-4.3411784,-0.45194438,-22.529322
710,-25.414469,-7.8110704,4.1347976
711,-2.4535406,-10.26162,-12.650255
712,-2.4535406,-10.26162,-12.650255
713,-2.4535406,-10.26162,-12.650255
714,-2.4535406,-10.26162,-12.650255
715,-6.8539414,-8.474481,2.0916262
716,-10.130912,-10.409975,2.2713869
717,-6.422934,-10.501202,-10.870593
718,0.56500524,-14.606986,-1.5855441
719,0.56500524,-14.606986,-1.5855441
720,0.56500524,-14.606986,-1.5855441
721,0.56500524,-14.606986,-1.5855441
722,0.56500524,-14.606986,-1.5855441
723,1.8463618,-15.086148,1.0280164
724,1.8463618,-15.086148,1.0280164
725,2.6321049,-12.453445,1.4183456
726,2.6321049,-12.453445,1.4183456
727,2.7424738,-11.782857,0.8985049
