,gx,gy,gz
501,3.2349796,-1.3102366,-0.77049637
502,2.7158782,-0.1259638,-0.6319495
503,2.473338,1.0248208,-0.6569825
504,2.4770663,1.8994436,-0.70338666
505,2.3421812,2.8865817,-0.7726268
506,2.2228084,3.7398999,-0.9069793
507,2.0842617,4.3912234,-1.0279498
508,2.041053,4.7557993,-0.99972117
509,2.069881,4.7877564,-0.81849843
510,2.0016394,4.632166,-0.6569825
511,1.7548382,4.172185,-0.5413381
512,1.4489167,3.4930987,-0.54986
513,1.1333413,3.438772,-0.53175104
514,0.72935176,3.8960898,-0.44699842
515,0.23901166,4.1204543,-0.29773262
516,-0.39686587,3.9893641,-0.24606884
517,-1.0540481,3.350291,-0.35265872
518,-1.8557025,2.714946,-0.8632382
519,-2.8891783,1.5594345,-1.3951889
520,-3.4791842,0.6400053,-1.5535092
521,-3.567665,-0.40099365,-1.3781452
522,-2.2762032,-1.2979864,-0.9709599
523,-0.5247604,-2.4183452,-0.4752271
524,0.7810821,-2.5319257,0.06098459
525,1.3907949,0.45878255,0.52895474
526,1.7495121,3.5858407,0.5923361
527,1.7937858,4.0757146,0.37755853
528,1.7516426,3.2405055,0.2912081
529,1.6839337,1.8376601,0.3114475
530,1.3311418,0.47795674,-0.05259588
531,0.49486732,-1.0645672,-0.29453692
532,-0.99812335,-2.2574284,0.09880036
533,-1.3210887,-2.8149447,0.60245585
534,-0.5109124,-2.3224077,0.8258219
535,-0.05306192,-1.730804,0.8892698
536,0.600392,-1.9962467,0.73840624
537,-0.7332132,-2.0655534,0.48734412
538,-1.7794718,-1.0539149,0.32529554
539,-1.7229478,-0.122768104,0.08974588
540,-1.3274801,-0.7794177,-0.19327322
541,-1.7650911,-3.0531576,-0.42303067
542,-2.6978357,-5.235287,-0.46883568
543,-3.311876,-6.378016,-0.315309
544,-3.4344444,-6.4712906,0.058854125
545,-3.336909,-5.9233613,0.47935486
546,-3.2383084,-4.7960787,0.8226262
547,-3.0821185,-3.3985593,1.0726231
548,-2.812415,-2.207296,1.27302
549,-2.6290617,-1.1461241,1.2985857
550,-2.5640824,0.09473916,1.0933951
551,-2.6541612,1.0471907,0.7607761
552,-2.8230672,1.2603704,0.43461508
553,-3.0544226,0.5152399,0.30026257
554,-3.105021,-0.9979236,0.386613
555,-3.0805209,-2.025008,0.354656
556,-3.0064204,-2.75416,0.27842528
557,-2.9008958,-2.835717,0.25179446
558,-2.7106185,-2.3783991,0.30026257
559,-2.6994336,-2.0399213,0.4798875
560,-2.6967707,-1.8091651,0.8125065
561,-2.7228687,-1.1535808,1.1466568
562,-2.9152765,-0.48468104,1.389197
563,-3.4775863,0.053128496,1.9008417
564,-3.2905047,-0.5129097,2.1636214
565,-2.0017061,-1.1360044,2.052238
566,-0.9176317,-1.5660923,1.8534389
567,-0.91390336,-2.3016357,1.5688219
568,-1.1073763,-2.4956412,0.9388032
569,-0.93094707,-1.8912547,0.36903667
570,-0.40272465,-1.4589698,0.34932986
571,0.13508487,-1.4941225,0.5459985
572,0.17982465,-1.1434611,0.6003254
573,-0.04560529,-0.7367418,0.37383023
574,-0.2278933,-0.69093674,-0.062182978
575,-0.21777357,-0.73887223,-0.32070172
576,0.2209027,-0.2960016,-0.63141686
577,0.7517216,0.29194042,-0.83234644
578,1.1808108,0.73221457,-0.9304145
579,1.8193514,1.074354,-0.9506539
580,2.652963,1.5327371,-0.90112054
581,3.362408,1.8440515,-1.0146345
582,3.6368387,2.3061628,-1.4047761
583,3.5984902,2.7970357,-1.7352645
584,3.468998,3.0198026,-1.9905876
585,3.3922346,2.8594184,-2.1552327
586,3.4066153,2.3871207,-2.1286018
587,3.4871068,1.4656274,-1.9564337
588,3.5931642,0.42143282,-1.6515772
589,3.7018845,-0.26770636,-1.3424599
590,3.7951589,-0.7154371,-1.149453
591,3.8367696,-1.193527,-1.0087757
592,3.8303783,-1.5799403,-0.91709906
593,3.807409,-1.8480462,-0.8499228
594,3.6373713,-1.5240155,-0.8568468
595,3.2003596,-0.46437502,-0.8019873
596,2.8608165,0.39320415,-0.791335
597,2.7158782,1.0989211,-0.83287907
598,2.7003658,1.8387253,-0.7720942
599,2.6097543,2.9393108,-0.7950633
600,2.5132842,3.9120684,-0.9634367
601,2.4642835,4.3011446,-1.0684953
602,2.3449109,4.5218477,-1.0322108
603,2.181797,4.5298367,-0.87821805
604,2.0032372,4.4312363,-0.6911365
605,1.776143,4.2046742,-0.6010577
606,1.4936564,3.6861057,-0.62396026
607,1.1365371,3.1045551,-0.6777545
608,0.7655697,2.989976,-0.66550434
609,0.35252556,3.2421033,-0.5796865
610,-0.08455287,3.3747914,-0.47416186
611,-0.59726286,3.302289,-0.4145088
612,-1.1111046,2.8663423,-0.5152399
613,-1.5092355,2.2554977,-0.7630397
614,-2.4616868,1.1580415,-1.3019145
615,-3.0149424,0.50405496,-1.4554412
616,-3.1817844,-0.26770636,-1.3173604
617,-2.0843282,-1.0491214,-0.91390336
618,-0.49386865,-2.2131548,-0.45232457
619,1.0033164,-1.4722852,0.18408558
620,1.5432564,0.9021858,0.49107242
621,1.8257428,3.3817153,0.4521914
622,1.7553709,3.5661337,0.27522957
623,1.8278733,2.9851823,0.3855478
624,2.3230069,1.9538372,0.5155728
625,1.9270065,0.5387416,0.5204329
626,0.61424,-1.1392001,0.6659038
627,-0.28175414,-1.9082984,0.61051166
628,-0.0792267,-1.5607661,0.3279586
629,-0.034952957,-0.9803473,0.05778889
630,-0.40858343,-2.1193476,0.17236802
631,-1.6398597,-2.5915787,0.25765324
632,-2.2373223,-2.0554338,0.3300891
633,-1.8754094,-1.632736,0.39513487
634,-1.5614984,-2.5542955,0.38821086
635,-2.0917847,-3.8164637,0.3242303
636,-2.949963,-5.1516,0.23787984
637,-3.3859098,-5.950059,0.37383023
638,-3.512273,-6.047594,0.5907383
639,-3.367268,-5.633418,0.8236914
640,-3.0581508,-4.481635,0.92442256
641,-2.7138143,-2.88798,0.9004548
642,-2.462752,-1.6598994,0.8822793
643,-2.3801966,-0.9542491,0.8838771
644,-2.4622195,-0.4932029,0.77462417
645,-2.6797268,-0.14939894,0.58008593
646,-2.876928,0.014780108,0.39193916
647,-3.0464332,-0.07583128,0.21870565
648,-3.0986297,-0.42070046,0.22136874
649,-3.0405746,-1.0181631,0.33388397
650,-2.9579523,-1.6668234,0.30186042
651,-2.9248636,-2.0554338,0.23954427
652,-2.9078197,-2.273407,0.15159598
653,-2.8822544,-2.2803311,0.18248773
654,-2.9318542,-2.2248724,0.347732
655,-2.9040916,-1.9877248,0.6472622
656,-2.6845205,-1.2702904,1.0187622
657,-2.6391814,-0.1579208,1.3982515
658,-3.0661402,0.42516112,1.8481127
659,-3.3736596,-0.19307348,2.332594
660,-2.4899821,-1.0837414,2.4248033
661,-0.9176317,-1.5533094,2.1396537
662,-0.4037899,-1.9989097,1.8134927
663,-0.92668617,-2.282994,1.2143656
664,-1.0354065,-2.1998394,0.53108525
665,-0.61270875,-1.9327987,0.40312412
666,0.027363174,-1.238866,0.5555856
667,0.07802832,-0.57689023,0.48042008
668,0.05778889,-0.25119525,0.29706687
669,-0.082955025,-0.3332848,0.06737599
670,-0.28814554,-0.36417654,-0.20978433
671,0.035419,-0.17176883,-0.6777545
672,0.45272404,0.04513925,-0.8275529
673,0.8141043,0.55844843,-0.9218926
674,1.3929254,1.2369353,-0.93893635
675,2.3070285,1.6084353,-0.85258585
676,3.1060197,1.8419211,-0.8504554
677,3.535575,2.1292012,-1.0940609
678,3.582512,2.452699,-1.5439221
679,3.5179987,2.9089518,-1.9276723
680,3.538238,3.3231275,-2.1222105
681,3.5958273,3.1941013,-2.145113
682,3.6091425,2.2352583,-2.0007074
