,ax,ay,az
501,-5.0572305,6.9332037,-6.1920266
502,-4.130311,7.3525457,-7.8257265
503,-2.975774,6.4325056,-14.444573
504,-2.7338,5.486443,-13.919947
505,-1.5047864,5.924928,-11.639288
506,0.49052864,5.690132,-10.590334
507,2.8046873,3.792923,-7.5382886
508,1.7338991,1.4620147,-4.045665
509,0.8572287,0.7289136,0.18723837
510,0.5288138,-0.10707881,1.5885352
511,-0.18723837,-1.0989038,2.0030916
512,0.16002001,-1.2424731,8.89472
513,2.8501508,-6.6514487,32.36113
514,-2.8342984,-3.9661036,-3.0586255
515,-3.8691943,-5.259723,-13.730615
516,-4.8993044,-11.4954195,1.1958131
517,-5.2680984,-12.661921,-7.847262
518,-5.270491,-17.467306,-6.5033927
519,-11.304891,-36.7726,-2.4239295
520,-15.434604,-47.806202,-2.80708
521,-5.946164,-36.724743,-9.334999
522,2.6895328,-25.379473,-9.260822
523,9.459426,-21.19951,-12.219248
524,11.902797,-21.014965,-18.512072
525,13.316058,-23.33391,-15.180067
526,15.460027,-26.208586,-7.411469
527,8.414959,-27.995426,3.5790644
528,5.0276194,-26.25405,12.607782
529,4.2035913,-24.658636,19.918753
530,2.7975087,-23.065615,19.80629
531,-0.026919255,-21.920649,21.760927
532,-5.864808,-20.193329,24.400808
533,-9.417253,-15.744773,23.629423
534,-10.133305,-12.2330065,21.449562
535,-13.896915,-9.370592,12.674782
536,-13.827225,-8.43141,11.7311125
537,-13.5685005,-1.966003,15.836897
538,-4.310072,1.550549,25.062126
539,0.6415756,0.59970117,18.079271
540,5.71765,-1.2496517,7.7497544
541,3.714857,-4.38066,-0.5315057
542,0.72053874,-6.663413,-3.4396825
543,0.8066803,-6.172585,-2.740081
544,0.93619186,-3.3529427,-4.1054854
545,0.78035927,-0.8449655,-4.733302
546,-0.0029910284,0.5515456,-4.7309093
547,-0.5371887,0.4534399,-3.839583
548,0.4953143,-1.3863416,0.7932207
549,1.3456637,-4.299304,3.437888
550,1.9830518,-7.961818,2.1801605
551,1.9974087,-14.036896,0.007477571
552,-0.048454657,-24.095724,-2.481357
553,-6.300601,-47.013283,-5.092525
554,-11.086844,-70.71449,21.955046
555,-31.580473,-59.72156,20.508286
556,-18.97269,-36.017963,2.2929223
557,-5.1341,-22.90021,-17.448463
558,0.4881358,-14.81546,-4.093521
559,-0.573081,-13.840385,4.6908298
560,5.94766,-14.939887,6.8682985
561,18.66282,-14.494523,-6.6855464
562,13.114761,-10.50838,-9.88834
563,1.9232312,-6.6562343,-3.7223346
564,0.62721866,-0.33230326,-3.9284165
565,1.6477575,3.7710886,-4.2852464
566,-0.35264224,7.105786,-5.710471
567,-1.8978075,7.6184483,-6.2374907
568,-2.5492535,7.960921,-6.0891356
569,-1.7611175,8.114361,-9.028419
570,-1.672583,7.2807612,-17.479568
571,-0.9346963,6.700801,-16.34896
572,-0.35503507,7.02443,-12.580863
573,1.4129617,7.5586276,-10.170992
574,1.5349957,4.796413,-7.502396
575,1.9304097,2.0871396,-4.5535417
576,0.7253244,0.014955142,-2.6611178
577,-0.33589247,-0.72023964,0.77407813
578,-1.0929217,-1.448555,2.1394825
579,10.489536,-9.957433,78.709206
580,-4.9734817,-9.18126,1.3776677
581,-2.4678974,-4.9842496,-25.94777
582,-1.2029916,-6.0215383,-3.705585
583,-4.252345,-8.143971,1.4446666
584,-3.6200416,-6.8742805,-0.7686943
585,-1.9073788,-5.4777694,-4.6950173
586,-8.86152,-16.710278,-4.939085
587,-20.59951,-49.19075,-10.2571335
588,-4.2427735,-41.57081,-0.52911294
589,4.99412,-34.49433,-8.105986
590,13.121941,-26.2373,-20.46671
591,12.796217,-24.725636,-18.478573
592,12.15195,-24.342484,-18.543179
593,12.297912,-25.918457,-10.70519
594,8.479566,-28.32833,-5.4613185
595,2.495714,-30.771997,10.679466
596,2.4765713,-28.05764,24.99722
597,3.4657044,-24.948465,28.64089
598,-0.30239296,-22.289442,26.959335
599,-7.6540413,-20.924038,24.537498
600,-14.169996,-18.209978,19.28645
601,-11.522937,-12.75524,18.16302
602,-14.203496,-8.898608,10.351351
603,-14.636896,-4.9340005,8.901898
604,-11.0246315,-1.2113664,13.161122
605,-3.138486,-0.07836494,20.560926
606,1.1303096,-0.8258229,22.25684
607,7.7129645,-1.7264216,16.234703
608,7.3585277,-3.7097723,4.8678985
609,6.335596,-5.056034,0.3475575
610,3.1232316,-6.2730837,-0.7471589
611,1.041476,-6.500701,-1.1231312
612,-0.10827523,-4.3878384,-2.14367
613,-0.721436,-2.656033,-3.566502
614,-0.6903293,0.055932228,-4.6085763
615,-0.48903313,1.361217,-4.429115
616,-0.7716853,2.0057836,-3.0924242
617,-1.0112667,2.096711,-1.1015958
618,-0.9825528,0.47736812,0.7860422
619,-1.6701902,-3.065505,4.336094
620,-0.42921257,-6.268298,5.1960144
621,1.1398809,-15.34248,5.517251
622,-2.7266214,-34.508987,-0.541077
623,-12.986446,-77.65906,22.374388
624,-8.739186,-76.70074,19.324736
625,-17.020447,-50.22804,15.829719
626,-3.9026937,-26.630022,2.3455644
627,3.2982068,-18.19323,-1.0680962
628,3.690929,-12.769597,0.21355942
629,7.5406814,-10.946864,-3.204887
630,9.167203,-12.740883,-4.996812
631,4.6492543,-9.583553,-4.9342995
632,-0.31196424,-6.4528446,-6.4124656
633,-1.8161523,-2.1577277,-7.8520474
634,-3.9170506,2.7556343,-6.570691
635,-4.8323054,5.4146585,-3.394219
636,-4.540082,6.4854465,-4.56072
637,-3.979264,6.765706,-7.126424
638,-2.6907291,6.768099,-12.784553
639,-3.2943187,5.7451673,-12.015559
640,-2.2857437,5.608477,-11.08834
641,-0.77407813,6.0948186,-9.667901
642,0.689432,6.3511496,-8.549256
643,1.3193426,4.9809594,-5.878268
644,1.1829517,3.8024943,-3.463611
645,0.5769694,2.774777,-0.84765744
646,-0.1058824,1.8427725,1.0710872
647,-0.5347959,0.95413804,1.6531414
648,-0.6831509,0.506082,1.995614
649,-0.8030911,-0.36580276,2.405385
650,5.020441,-9.883255,61.622063
651,-1.2293127,-4.979464,-4.136592
652,-2.6596224,-3.2644083,-21.338894
653,0.25573292,-2.0545373,-8.805588
654,-0.80548394,-4.8789654,-2.917449
655,-2.3024936,-7.624131,-2.8432715
656,-12.143276,-31.073793,-10.556536
657,-23.97698,-66.52226,-10.252348
658,-9.024232,-54.667023,3.327519
659,0.62721866,-33.881172,-1.0872388
660,5.899504,-22.672592,-14.039588
661,16.72972,-14.137394,-24.718756
662,14.683855,-21.757637,-9.773185
663,14.207086,-24.311077,-2.1508484
664,9.044869,-22.267906,-1.0345967
665,5.8707905,-21.378973,3.0640094
666,5.046762,-20.957537,7.9893355
667,3.5039897,-21.75046,15.425032
668,2.7185457,-20.715563,20.285454
669,-1.3082758,-19.587347,21.344276
670,-8.727222,-19.072292,24.276382
671,-9.548858,-14.980865,17.609678
672,-10.64836,-11.890533,9.404989
673,-13.199707,-8.328518,8.633603
674,-14.457435,-4.814359,9.879367
