,mx,my,mz
51,14.400001,31.031252,-36.206253
52,0.375,38.568752,-29.343752
53,-5.86875,41.831253,-24.862501
54,1.5937501,49.162502,-5.025
55,-2.8875,50.287502,-1.2
56,-1.25625,45.3375,-13.743751
57,7.6312504,36.24375,-35.49375
58,18.50625,29.85,-35.8125
59,-2.8875,38.11875,-32.30625
60,0.22500001,39.9375,-30.675001
61,-0.8625,49.893753,-1.40625
62,-1.125,47.7,-5.71875
63,-0.112500004,44.5875,-20.25
64,9.450001,32.193752,-36.73125
65,15.13125,32.60625,-33.99375
66,-4.89375,40.03125,-29.062502
67,0.46875003,41.98125,-28.63125
68,-3.3937502,49.818752,-0.50625
69,-0.3375,48.581253,-3.6562502
70,-1.81875,46.331253,-16.2
71,11.19375,33.35625,-35.193752
72,18.1875,30.45,-33.7125
73,0.63750005,40.331253,-27.768751
74,0.7875,40.0125,-31.181252
75,-0.13125001,50.8875,-3.73125
76,-0.43125,49.256252,-6.7500005
77,1.9687501,45.018753,-20.00625
78,6.9187503,36.6375,-33.862503
79,14.400001,32.7,-33.65625
80,0.112500004,39.84375,-28.06875
81,3.2812502,41.100002,-26.587502
82,-3.61875,49.162502,-0.4875
83,0.15,49.031254,-7.89375
84,1.7625,43.143753,-17.681252
85,9.918751,33.375,-35.643753
86,16.5,29.962502,-35.268753
87,-3.45,40.3125,-25.050001
88,2.8125,41.5875,-25.29375
89,-1.1812501,49.29375,2.1937501
90,-1.0125,48.693752,-0.075
91,-0.52500004,46.7625,-11.212501
92,8.6625,36.28125,-32.60625
93,18.431252,32.2125,-33.28125
94,-0.4875,40.050003,-29.025002
95,0.112500004,41.34375,-28.275002
96,-2.0625,49.8375,4.4812503
97,-2.5875,49.818752,-3.61875
98,0.65625,44.100002,-18.806252
99,8.775001,34.893753,-35.006252
100,14.306251,33.675003,-33.675003
101,-3.1875002,38.5875,-29.718752
102,-0.1875,39.862503,-29.19375
103,-3.2812502,50.362503,2.0625
104,0.35625002,48.768753,-4.0125003
105,1.63125,44.25,-18.993752
106,10.275001,34.3125,-33.412502
107,17.23125,29.8875,-33.99375
108,-4.1062503,41.193752,-26.04375
109,0.61875004,40.3125,-30.69375
110,0.075,49.256252,0.69375
111,-0.39375,49.275,-3.99375
112,1.1437501,46.5,-17.587502
113,10.387501,34.575,-33.09375
114,16.06875,30.300001,-33.956253
115,-2.04375,41.60625,-28.5375
116,-0.31875002,43.2,-25.06875
117,-3.2625,50.381252,4.5
118,-1.1625,50.081253,-1.5562501
119,-0.075,44.625,-15.056251
120,10.837501,35.5875,-34.612503
121,14.08125,33.0,-35.60625
